transaction_id,timestamp,customer_id,account_id,amount,currency,transaction_type,channel,country_of_residence,counterparty_account_id,counterparty_country,customer_segment,kyc_risk_level,is_pep,on_sanctions_list,model_risk_score,tx_count_24h,total_amount_24h,tx_count_7d,total_amount_7d,unique_counterparties_30d,decision,decision_status,active_rules,explanation_pl
T000000001,2025-11-09T19:58:20Z,C000001,AC00000001,112080,PLN,SWIFT_OUT,INTERNET,PL,CP00000001,US,SME,HIGH,False,False,0.72,0,211353,0,326476,4,FLAGGED,SAT,aml.high_amount_core,"Decyzja: transakcja została OFLAGOWANA (FLAGGED). Kluczowe dane wejściowe: amount=112080, is_pep=False, model_risk_score=0.72, on_sanctions_list=False, total_amount_24h=211353.

Powody (aktywne reguły):
- Reguła 'aml.high_amount_core': IF amount >= 15000 THEN is_suspicious = TRUE

Reguły, które nie zadziałały w tym przypadku:
- Reguła 'aml.velocity_24h_core' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF tx_count_24h >= 10 THEN is_suspicious = TRUE
- Reguła 'aml.velocity_7d_heavy' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF tx_count_7d >= 50 AND total_amount_7d > 50000 THEN is_suspicious = TRUE
- Reguła 'aml.pep_high_risk_amount' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF is_pep == TRUE AND amount >= 2000 THEN is_suspicious = TRUE
- Reguła 'aml.structuring_cash_like' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF amount < 2000 AND tx_count_24h >= 10 AND total_amount_24h >= 15000 THEN is_suspicious = TRUE
- Reguła 'aml.model_score_very_high' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF model_risk_score >= 0.9 THEN is_suspicious = TRUE
- ... oraz 1 dodatkowych reguł, które nie miały zastosowania w tym przypadku."
T000000002,2025-11-09T15:46:18Z,C000001,AC00000001,6754,EUR,CARD_POS,INTERNET,PL,CP00000002,DE,RETAIL_STANDARD,HIGH,False,False,0.62,27,153341,61,351173,16,FLAGGED,SAT,"aml.velocity_24h_core,aml.velocity_7d_heavy","Decyzja: transakcja została OFLAGOWANA (FLAGGED). Kluczowe dane wejściowe: amount=6754, is_pep=False, model_risk_score=0.62, on_sanctions_list=False, total_amount_24h=153341.

Powody (aktywne reguły):
- Reguła 'aml.velocity_24h_core': IF tx_count_24h >= 10 THEN is_suspicious = TRUE
- Reguła 'aml.velocity_7d_heavy': IF tx_count_7d >= 50 AND total_amount_7d > 50000 THEN is_suspicious = TRUE

Reguły, które nie zadziałały w tym przypadku:
- Reguła 'aml.high_amount_core' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF amount >= 15000 THEN is_suspicious = TRUE
- Reguła 'aml.pep_high_risk_amount' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF is_pep == TRUE AND amount >= 2000 THEN is_suspicious = TRUE
- Reguła 'aml.structuring_cash_like' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF amount < 2000 AND tx_count_24h >= 10 AND total_amount_24h >= 15000 THEN is_suspicious = TRUE
- Reguła 'aml.model_score_very_high' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF model_risk_score >= 0.9 THEN is_suspicious = TRUE
- Reguła 'aml.sanctions_match' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF on_sanctions_list == TRUE THEN is_suspicious = TRUE"
T000000003,2025-11-21T12:49:40Z,C000002,AC00000002,342,USD,CASH_IN,BRANCH,PL,CP00000002,US,SME,HIGH,False,False,0.71,11,4380,80,13830,2,FLAGGED,SAT,aml.velocity_24h_core,"Decyzja: transakcja została OFLAGOWANA (FLAGGED). Kluczowe dane wejściowe: amount=342, is_pep=False, model_risk_score=0.71, on_sanctions_list=False, total_amount_24h=4380.

Powody (aktywne reguły):
- Reguła 'aml.velocity_24h_core': IF tx_count_24h >= 10 THEN is_suspicious = TRUE

Reguły, które nie zadziałały w tym przypadku:
- Reguła 'aml.high_amount_core' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF amount >= 15000 THEN is_suspicious = TRUE
- Reguła 'aml.velocity_7d_heavy' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF tx_count_7d >= 50 AND total_amount_7d > 50000 THEN is_suspicious = TRUE
- Reguła 'aml.pep_high_risk_amount' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF is_pep == TRUE AND amount >= 2000 THEN is_suspicious = TRUE
- Reguła 'aml.structuring_cash_like' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF amount < 2000 AND tx_count_24h >= 10 AND total_amount_24h >= 15000 THEN is_suspicious = TRUE
- Reguła 'aml.model_score_very_high' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF model_risk_score >= 0.9 THEN is_suspicious = TRUE
- ... oraz 1 dodatkowych reguł, które nie miały zastosowania w tym przypadku."
T000000004,2025-11-14T23:26:12Z,C000002,AC00000001,6099,USD,INTERNAL,INTERNET,PL,CP00000005,US,RETAIL_PREMIUM,HIGH,False,False,0.89,10,63652,30,229301,12,FLAGGED,SAT,aml.velocity_24h_core,"Decyzja: transakcja została OFLAGOWANA (FLAGGED). Kluczowe dane wejściowe: amount=6099, is_pep=False, model_risk_score=0.89, on_sanctions_list=False, total_amount_24h=63652.

Powody (aktywne reguły):
- Reguła 'aml.velocity_24h_core': IF tx_count_24h >= 10 THEN is_suspicious = TRUE

Reguły, które nie zadziałały w tym przypadku:
- Reguła 'aml.high_amount_core' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF amount >= 15000 THEN is_suspicious = TRUE
- Reguła 'aml.velocity_7d_heavy' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF tx_count_7d >= 50 AND total_amount_7d > 50000 THEN is_suspicious = TRUE
- Reguła 'aml.pep_high_risk_amount' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF is_pep == TRUE AND amount >= 2000 THEN is_suspicious = TRUE
- Reguła 'aml.structuring_cash_like' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF amount < 2000 AND tx_count_24h >= 10 AND total_amount_24h >= 15000 THEN is_suspicious = TRUE
- Reguła 'aml.model_score_very_high' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF model_risk_score >= 0.9 THEN is_suspicious = TRUE
- ... oraz 1 dodatkowych reguł, które nie miały zastosowania w tym przypadku."
T000000005,2025-11-26T17:57:17Z,C000002,AC00000001,56347,PLN,SWIFT_OUT,BRANCH,PL,CP00000001,AE,RETAIL_PREMIUM,HIGH,False,False,0.48,3,78976,4,226637,6,FLAGGED,SAT,aml.high_amount_core,"Decyzja: transakcja została OFLAGOWANA (FLAGGED). Kluczowe dane wejściowe: amount=56347, is_pep=False, model_risk_score=0.48, on_sanctions_list=False, total_amount_24h=78976.

Powody (aktywne reguły):
- Reguła 'aml.high_amount_core': IF amount >= 15000 THEN is_suspicious = TRUE

Reguły, które nie zadziałały w tym przypadku:
- Reguła 'aml.velocity_24h_core' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF tx_count_24h >= 10 THEN is_suspicious = TRUE
- Reguła 'aml.velocity_7d_heavy' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF tx_count_7d >= 50 AND total_amount_7d > 50000 THEN is_suspicious = TRUE
- Reguła 'aml.pep_high_risk_amount' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF is_pep == TRUE AND amount >= 2000 THEN is_suspicious = TRUE
- Reguła 'aml.structuring_cash_like' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF amount < 2000 AND tx_count_24h >= 10 AND total_amount_24h >= 15000 THEN is_suspicious = TRUE
- Reguła 'aml.model_score_very_high' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF model_risk_score >= 0.9 THEN is_suspicious = TRUE
- ... oraz 1 dodatkowych reguł, które nie miały zastosowania w tym przypadku."
T000000006,2025-11-26T19:31:30Z,C000003,AC00000003,3465,EUR,INTERNAL,MOBILE,PL,CP00000010,GB,RETAIL_STANDARD,MEDIUM,False,False,0.78,20,83085,38,293171,7,FLAGGED,SAT,aml.velocity_24h_core,"Decyzja: transakcja została OFLAGOWANA (FLAGGED). Kluczowe dane wejściowe: amount=3465, is_pep=False, model_risk_score=0.78, on_sanctions_list=False, total_amount_24h=83085.

Powody (aktywne reguły):
- Reguła 'aml.velocity_24h_core': IF tx_count_24h >= 10 THEN is_suspicious = TRUE

Reguły, które nie zadziałały w tym przypadku:
- Reguła 'aml.high_amount_core' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF amount >= 15000 THEN is_suspicious = TRUE
- Reguła 'aml.velocity_7d_heavy' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF tx_count_7d >= 50 AND total_amount_7d > 50000 THEN is_suspicious = TRUE
- Reguła 'aml.pep_high_risk_amount' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF is_pep == TRUE AND amount >= 2000 THEN is_suspicious = TRUE
- Reguła 'aml.structuring_cash_like' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF amount < 2000 AND tx_count_24h >= 10 AND total_amount_24h >= 15000 THEN is_suspicious = TRUE
- Reguła 'aml.model_score_very_high' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF model_risk_score >= 0.9 THEN is_suspicious = TRUE
- ... oraz 1 dodatkowych reguł, które nie miały zastosowania w tym przypadku."
T000000007,2025-11-11T23:58:04Z,C000002,AC00000003,2316,EUR,SEPA_CREDIT,POS,PL,CP00000009,NL,RETAIL_PREMIUM,LOW,False,False,0.08,0,2316,5,5654,5,CLEAN,SAT,,"Decyzja: transakcja została OZNACZONA jako CZYSTA (CLEAN). Kluczowe dane wejściowe: amount=2316, is_pep=False, model_risk_score=0.08, on_sanctions_list=False, total_amount_24h=2316.

Reguły, które nie zadziałały w tym przypadku:
- Reguła 'aml.high_amount_core' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF amount >= 15000 THEN is_suspicious = TRUE
- Reguła 'aml.velocity_24h_core' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF tx_count_24h >= 10 THEN is_suspicious = TRUE
- Reguła 'aml.velocity_7d_heavy' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF tx_count_7d >= 50 AND total_amount_7d > 50000 THEN is_suspicious = TRUE
- Reguła 'aml.pep_high_risk_amount' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF is_pep == TRUE AND amount >= 2000 THEN is_suspicious = TRUE
- Reguła 'aml.structuring_cash_like' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF amount < 2000 AND tx_count_24h >= 10 AND total_amount_24h >= 15000 THEN is_suspicious = TRUE
- ... oraz 2 dodatkowych reguł, które nie miały zastosowania w tym przypadku."
T000000008,2025-11-09T19:32:54Z,C000003,AC00000001,2611,USD,CARD_POS,INTERNET,PL,CP00000004,AE,RETAIL_STANDARD,LOW,False,False,0.15,2,5222,7,10524,2,CLEAN,SAT,,"Decyzja: transakcja została OZNACZONA jako CZYSTA (CLEAN). Kluczowe dane wejściowe: amount=2611, is_pep=False, model_risk_score=0.15, on_sanctions_list=False, total_amount_24h=5222.

Reguły, które nie zadziałały w tym przypadku:
- Reguła 'aml.high_amount_core' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF amount >= 15000 THEN is_suspicious = TRUE
- Reguła 'aml.velocity_24h_core' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF tx_count_24h >= 10 THEN is_suspicious = TRUE
- Reguła 'aml.velocity_7d_heavy' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF tx_count_7d >= 50 AND total_amount_7d > 50000 THEN is_suspicious = TRUE
- Reguła 'aml.pep_high_risk_amount' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF is_pep == TRUE AND amount >= 2000 THEN is_suspicious = TRUE
- Reguła 'aml.structuring_cash_like' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF amount < 2000 AND tx_count_24h >= 10 AND total_amount_24h >= 15000 THEN is_suspicious = TRUE
- ... oraz 2 dodatkowych reguł, które nie miały zastosowania w tym przypadku."
T000000009,2025-11-12T23:10:28Z,C000003,AC00000002,372,PLN,INTERNAL,MOBILE,PL,CP00000008,UA,RETAIL_STANDARD,MEDIUM,False,False,0.24,0,372,5,733,1,CLEAN,SAT,,"Decyzja: transakcja została OZNACZONA jako CZYSTA (CLEAN). Kluczowe dane wejściowe: amount=372, is_pep=False, model_risk_score=0.24, on_sanctions_list=False, total_amount_24h=372.

Reguły, które nie zadziałały w tym przypadku:
- Reguła 'aml.high_amount_core' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF amount >= 15000 THEN is_suspicious = TRUE
- Reguła 'aml.velocity_24h_core' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF tx_count_24h >= 10 THEN is_suspicious = TRUE
- Reguła 'aml.velocity_7d_heavy' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF tx_count_7d >= 50 AND total_amount_7d > 50000 THEN is_suspicious = TRUE
- Reguła 'aml.pep_high_risk_amount' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF is_pep == TRUE AND amount >= 2000 THEN is_suspicious = TRUE
- Reguła 'aml.structuring_cash_like' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF amount < 2000 AND tx_count_24h >= 10 AND total_amount_24h >= 15000 THEN is_suspicious = TRUE
- ... oraz 2 dodatkowych reguł, które nie miały zastosowania w tym przypadku."
T000000010,2025-11-26T08:02:39Z,C000004,AC00000002,1326,USD,INTERNAL,INTERNET,PL,CP00000007,US,RETAIL_STANDARD,LOW,False,False,0.06,3,3978,8,9148,4,CLEAN,SAT,,"Decyzja: transakcja została OZNACZONA jako CZYSTA (CLEAN). Kluczowe dane wejściowe: amount=1326, is_pep=False, model_risk_score=0.06, on_sanctions_list=False, total_amount_24h=3978.

Reguły, które nie zadziałały w tym przypadku:
- Reguła 'aml.high_amount_core' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF amount >= 15000 THEN is_suspicious = TRUE
- Reguła 'aml.velocity_24h_core' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF tx_count_24h >= 10 THEN is_suspicious = TRUE
- Reguła 'aml.velocity_7d_heavy' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF tx_count_7d >= 50 AND total_amount_7d > 50000 THEN is_suspicious = TRUE
- Reguła 'aml.pep_high_risk_amount' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF is_pep == TRUE AND amount >= 2000 THEN is_suspicious = TRUE
- Reguła 'aml.structuring_cash_like' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF amount < 2000 AND tx_count_24h >= 10 AND total_amount_24h >= 15000 THEN is_suspicious = TRUE
- ... oraz 2 dodatkowych reguł, które nie miały zastosowania w tym przypadku."
T000000011,2025-11-28T06:07:35Z,C000002,AC00000002,2634,PLN,SEPA_CREDIT,MOBILE,PL,CP00000003,US,RETAIL_STANDARD,MEDIUM,False,False,0.17,0,2634,1,2989,1,CLEAN,SAT,,"Decyzja: transakcja została OZNACZONA jako CZYSTA (CLEAN). Kluczowe dane wejściowe: amount=2634, is_pep=False, model_risk_score=0.17, on_sanctions_list=False, total_amount_24h=2634.

Reguły, które nie zadziałały w tym przypadku:
- Reguła 'aml.high_amount_core' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF amount >= 15000 THEN is_suspicious = TRUE
- Reguła 'aml.velocity_24h_core' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF tx_count_24h >= 10 THEN is_suspicious = TRUE
- Reguła 'aml.velocity_7d_heavy' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF tx_count_7d >= 50 AND total_amount_7d > 50000 THEN is_suspicious = TRUE
- Reguła 'aml.pep_high_risk_amount' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF is_pep == TRUE AND amount >= 2000 THEN is_suspicious = TRUE
- Reguła 'aml.structuring_cash_like' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF amount < 2000 AND tx_count_24h >= 10 AND total_amount_24h >= 15000 THEN is_suspicious = TRUE
- ... oraz 2 dodatkowych reguł, które nie miały zastosowania w tym przypadku."
T000000012,2025-11-14T06:44:59Z,C000005,AC00000004,1717,PLN,SEPA_CREDIT,INTERNET,PL,CP00000016,AE,RETAIL_PREMIUM,MEDIUM,False,False,0.22,1,1717,1,2049,4,CLEAN,SAT,,"Decyzja: transakcja została OZNACZONA jako CZYSTA (CLEAN). Kluczowe dane wejściowe: amount=1717, is_pep=False, model_risk_score=0.22, on_sanctions_list=False, total_amount_24h=1717.

Reguły, które nie zadziałały w tym przypadku:
- Reguła 'aml.high_amount_core' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF amount >= 15000 THEN is_suspicious = TRUE
- Reguła 'aml.velocity_24h_core' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF tx_count_24h >= 10 THEN is_suspicious = TRUE
- Reguła 'aml.velocity_7d_heavy' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF tx_count_7d >= 50 AND total_amount_7d > 50000 THEN is_suspicious = TRUE
- Reguła 'aml.pep_high_risk_amount' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF is_pep == TRUE AND amount >= 2000 THEN is_suspicious = TRUE
- Reguła 'aml.structuring_cash_like' była spełniona logicznie, ale jej warunek nie dotyczył tego przypadku: IF amount < 2000 AND tx_count_24h >= 10 AND total_amount_24h >= 15000 THEN is_suspicious = TRUE
- ... oraz 2 dodatkowych reguł, które nie miały zastosowania w tym przypadku."
